"Source: Inter-Parliamentary Union Open Data","","","","","","","","",""
"Date: 2021-12-27","","","","","","","","",""
"Classement au 1er Novembre 2021","","","","","","","","",""
"","","","","","","","","",""
"Classement","Pays","Chambre basse ou unique","","","","Chambre haute","","",""
"","","Elections","Sièges","Femmes","% W","Elections","Sièges","Femmes","% W"
"1","Rwanda","09.2018","80","49","61.3","09.2019","26","10","38.5"
"2","Cuba","03.2018","586","313","53.4","-","-","-","-"
"3","Nicaragua","11.2016","91","46","50.6","-","-","-","-"
"4","Emirats arabes unis","10.2019","40","20","50","-","-","-","-"
"“","Mexique","06.2021","500","250","50","07.2018","128","63","49.2"
"6","Nouvelle-Zélande","10.202","120","59","49.2","-","-","-","-"
"7","Islande","09.2021","63","30","47.6","-","-","-","-"
"8","Suède","09.2018","349","164","47","-","-","-","-"
"9","Grenade","03.2018","15","7","46.7","04.2018","13","2","15.4"
"10","Afrique du Sud","05.2019","397","184","46.4","05.2019","53","22","41.5"
"“","Andorre","04.2019","28","13","46.4","-","-","-","-"
"12","Bolivie (Etat plurinational de)","10.202","130","60","46.2","10.202","36","20","55.6"
"13","Finlande","04.2019","200","92","46","-","-","-","-"
"14","Costa Rica","02.2018","57","26","45.6","-","-","-","-"
"15","Norvège","09.2021","169","76","45","-","-","-","-"
"16","Namibie","11.2019","104","46","44.2","12.202","42","6","14.3"
"17","Espagne","11.2019","350","152","43.4","11.2019","265","108","40.8"
"18","Sénégal","07.2017","165","71","43","-","-","-","-"
"19","Ethiopie","06.2021","425","181","42.6","10.2021","144","44","30.6"
"20","Argentine","10.2019","257","109","42.4","10.2019","72","29","40.3"
"“","Mozambique","10.2019","250","106","42.4","-","-","-","-"
"22","Belgique","05.2019","150","63","42","07.2019","60","27","45"
"“","Suisse","10.2019","200","84","42","10.2019","46","12","26.1"
"24","Bélarus","11.2019","110","44","40","11.2019","60","15","25"
"“","Macédoine du Nord","07.2020","120","48","40","-","-","-","-"
"“","Portugal","10.2019","230","92","40","-","-","-","-"
"“","Pérou","04.2021","130","52","40","-","-","-","-"
"28","Autriche","09.2019","183","73","39.9","-","61","22","36.1"
"29","Danemark","06.2019","179","71","39.7","-","-","-","-"
"30","République de Moldova","07.2021","101","40","39.6","-","-","-","-"
"31","France","06.2017","577","228","39.5","09.2020","348","122","35.1"
"32","Equateur","02.2021","137","54","39.4","-","-","-","-"
"33","Pays-Bas","03.2021","150","59","39.3","05.2019","75","29","38.7"
"34","Serbie","06.2020","250","98","39.2","-","-","-","-"
"35","Cabo Verde","04.2021","72","28","38.9","-","-","-","-"
"36","Timor-Leste","05.2018","65","25","38.5","-","-","-","-"
"37","Burundi","05.2020","123","47","38.2","07.2020","39","16","41"
"38","République-Unie de Tanzanie","10.202","388","143","36.9","-","-","-","-"
"39","Albanie","04.2021","140","50","35.7","-","-","-","-"
"“","Guyana","03.2020","70","25","35.7","-","-","-","-"
"“","Italie","03.2018","630","225","35.7","03.2018","320","110","34.4"
"42","Luxembourg","10.2018","60","21","35","-","-","-","-"
"43","Allemagne","09.2021","736","257","34.9","-","69","23","33.3"
"44","Dominique","12.2019","32","11","34.4","-","-","-","-"
"45","Royaume-Uni","12.2019","648","222","34.3","-","787","224","28.5"
"46","Cameroun","02.2020","180","61","33.9","03.2018","100","26","26"
"47","Ouganda","01.2021","556","188","33.8","-","-","-","-"
"48","Arménie","06.2021","107","36","33.6","-","-","-","-"
"49","Monaco","02.2018","24","8","33.3","-","-","-","-"
"“","Saint-Marin","12.2019","60","20","33.3","-","-","-","-"
"51","Népal","11.2017","275","90","32.7","01.2020","58","22","37.9"
"“","Ouzbékistan","12.2019","147","48","32.7","01.2020","100","23","23"
"53","Soudan du Sud","05.2021","550","178","32.4","08.2021","84","27","32.1"
"54","Tchad","09.2021","93","30","32.3","-","-","-","-"
"55","Zimbabwe","07.2018","270","86","31.9","07.2018","80","35","43.8"
"56","Australie","05.2019","151","47","31.1","05.2019","76","39","51.3"
"“","Croatie","07.2020","151","47","31.1","-","-","-","-"
"58","Canada","09.2021","338","103","30.5","-","94","46","48.9"
"59","Viet Nam","05.2021","499","151","30.3","-","-","-","-"
"60","Iraq","10.2021","329","98","29.8","-","-","-","-"
"“","Singapour","07.2020","104","31","29.8","-","-","-","-"
"62","Angola","08.2017","220","65","29.6","-","-","-","-"
"63","Suriname","05.2020","51","15","29.4","-","-","-","-"
"64","Lettonie","10.2018","100","29","29","-","-","-","-"
"65","Jamaïque","09.2020","63","18","28.6","09.2020","21","8","38.1"
"66","Israël","03.2021","120","34","28.3","-","-","-","-"
"“","Pologne","10.2019","459","130","28.3","10.2019","100","24","24"
"68","Liechtenstein","02.2021","25","7","28","-","-","-","-"
"“","Philippines","05.2019","304","85","28","05.2019","24","7","29.2"
"70","République dominicaine","07.2020","190","53","27.9","07.2020","32","4","12.5"
"71","Egypte","10.202","592","164","27.7","08.2020","300","40","13.3"
"“","Lituanie","10.202","141","39","27.7","-","-","-","-"
"73","Etats-Unis d'Amérique","11.202","432","119","27.6","11.202","100","24","24"
"74","El Salvador","02.2021","84","23","27.4","-","-","-","-"
"75","Mali","12.202","121","33","27.3","-","-","-","-"
"76","Kazakhstan","01.2021","107","29","27.1","08.2020","48","9","18.8"
"77","Afghanistan","10.2018","248","67","27","01.2015","68","19","27.9"
"78","Slovénie","06.2018","90","24","26.7","11.2017","40","4","10"
"79","Tunisie","10.2019","217","57","26.3","-","-","-","-"
"80","Bosnie-Herzégovine","10.2018","42","11","26.2","02.2019","15","3","20"
"“","Djibouti","02.2018","65","17","26.2","-","-","-","-"
"“","Trinité-et-Tobago","08.2020","42","11","26.2","08.2020","32","13","40.6"
"83","Niger","12.202","166","43","25.9","-","-","-","-"
"84","Estonie","03.2019","101","26","25.7","-","-","-","-"
"85","République tchèque","10.2021","200","50","25","10.202","81","12","14.8"
"“","Saint-Kitts-et-Nevis","06.2020","16","4","25","-","-","-","-"
"“","Turkménistan","03.2018","124","31","25","03.2021","56","14","25"
"88","Chine","03.2018","2975","742","24.9","-","-","-","-"
"89","Monténégro","08.2020","81","20","24.7","-","-","-","-"
"90","Bulgarie","07.2021","240","59","24.6","-","-","-","-"
"91","Somalie","10.2016","275","67","24.4","07.2021","52","14","26.9"
"92","Uruguay","10.2019","99","24","24.2","10.2019","31","10","32.3"
"93","Tadjikistan","03.2020","63","15","23.8","03.2020","31","7","22.6"
"94","Sao Tomé-et-Principe","10.2018","55","13","23.6","-","-","-","-"
"95","Lesotho","06.2017","120","28","23.3","07.2017","33","7","21.2"
"96","Guinée équatoriale","11.2017","100","23","23","11.2017","72","12","16.7"
"97","Malawi","05.2019","192","44","22.9","-","-","-","-"
"“","Seychelles","10.202","35","8","22.9","-","-","-","-"
"99","Maroc","09.2021","395","90","22.8","10.2021","120","15","12.5"
"100","Slovaquie","02.2020","150","34","22.7","-","-","-","-"
"101","Chili","11.2017","155","35","22.6","11.2017","43","12","27.9"
"102","Irlande","02.2020","160","36","22.5","03.2020","60","24","40"
"“","Panama","05.2019","71","16","22.5","-","-","-","-"
"104","Venezuela (République bolivarienne du)","12.2015","167","37","22.2","-","-","-","-"
"105","République démocratique populaire lao","02.2021","164","36","22","-","-","-","-"
"106","Grèce","07.2019","300","65","21.7","-","-","-","-"
"107","Cambodge","07.2018","125","27","21.6","02.2018","62","10","16.1"
"“","Fidji","11.2018","51","11","21.6","-","-","-","-"
"“","Kenya","08.2017","347","75","21.6","08.2017","66","21","31.8"
"110","Honduras","11.2017","128","27","21.1","-","-","-","-"
"111","Indonésie","04.2019","575","121","21","-","-","-","-"
"112","Bangladesh","12.2018","350","73","20.9","-","-","-","-"
"113","Ukraine","07.2019","423","88","20.8","-","-","-","-"
"114","Mauritanie","09.2018","153","31","20.3","-","-","-","-"
"115","Pakistan","07.2018","342","69","20.2","03.2021","100","19","19"
"116","Barbade","05.2018","30","6","20","06.2018","21","9","42.9"
"“","Maurice","11.2019","70","14","20","-","-","-","-"
"118","Arabie saoudite","10.202","151","30","19.9","-","-","-","-"
"119","Guatemala","06.2019","160","31","19.4","-","-","-","-"
"120","Géorgie","10.202","150","29","19.3","-","-","-","-"
"121","République de Corée","04.2020","300","57","19","-","-","-","-"
"122","Colombie","03.2018","170","32","18.8","03.2018","105","22","21"
"123","Togo","12.2018","91","17","18.7","-","-","-","-"
"124","Roumanie","12.202","329","61","18.5","12.202","136","25","18.4"
"125","Azerbaïdjan","02.2020","121","22","18.2","-","-","-","-"
"“","Saint-Vincent-et-les Grenadines","11.202","22","4","18.2","-","-","-","-"
"127","Bahamas","09.2021","39","7","18","10.2021","16","4","25"
"128","Madagascar","05.2019","151","27","17.9","12.202","18","2","11.1"
"129","République populaire démocratique de Corée","03.2019","687","121","17.6","-","-","-","-"
"130","Mongolie","06.2020","75","13","17.3","-","-","-","-"
"“","Turquie","06.2018","600","104","17.3","-","-","-","-"
"132","Kirghizistan","10.202","117","20","17.1","-","-","-","-"
"133","Bhoutan","10.2018","47","8","17","04.2018","25","4","16"
"134","Comores","01.2020","24","4","16.7","-","-","-","-"
"“","Guinée","03.2020","114","19","16.7","-","-","-","-"
